Bank,IntChk2.5k,IntChk5k,MM2.5k,MM10k,MM25k,MM50k,MM100k,MM250k,Savings1k,Savings2.5k,3MoCD,6MoCD,9MoCD,1YrCD,18MoCD,2YrCD,30MoCD,3YrCD,4YrCD,5YrCD,36MoNAuto25k,48MoNAuto25k,60MoNAuto25k,72MoNAuto25k,36MoUAuto15k,48MoUAuto15k,60MoUAuto15k,72MoUAuto15k,36MoFixedUnsecLoan5k,60MoNRV25k,60MoNBoat25k,PlatCC,RwrdsCC,InterestIncomeoverAvgAssets,InterestExpenseoverAverageAssets,NetInterestIncomeoverAvgAssets,NetInterestMargin,YieldoverCostSpread,YieldonSecurities&OtherAssets,YieldonDebtandEquitySecurities,YieldonOtherAssets,AssetweightedSecurities&OtherYield,AssetweightedLoanYield,AssetweightedSecuritiesYield,AssetweightedOtherAssetYield,YieldonEarningAssets,YieldonLoansandLeases,NoninterestIncomeoverAverageAssets,GrossLoansoverAssets,LoansoverDeposits,OperatingExpenseoverOperatingRevenue,RiskBasedCapitalRatio,EquityoverAssets,ReservesoverNPAs,NetChargeoffsoverAvgLoans,LiquidityRatio,LiquidAssetsoverAssets,OneYearGapoverAssets,EarningAssetsoverIBL,CostofFunds,CostofInterestbearingLiabilities,CostofIntbearingDeposits,CostofBorrowings,CostofTimeDeposits$250K,CostofOtherTimeDeposits,LiabweighCostofIntbearDep,LiabilitywtdBorrowingCost,AssetGrowthRate,DepositGrowthRate,ChangeinAssets,ChangeinDeposits,ROAA
Bank1143,0.1,0.1,0.8,0.8,0.8,0.8,0.8,0.8,0.4,0.4,0.2,0.4,,0.65,0.8,0.9,,1.25,1.55,1.85,,,,,,,,,,,,,,5.02,1,4.02,4.1,3.96,2.26,1.44,4.27,0.13,5,0.06,0.07,5.13,5.3,0.76,92.29,116.21,31.09,15.07,8.45,240.56,0,5.84,5.34,21.74,115.58,1.12,1.17,1.2,0.98,1.48,1.37,1.04,0.13,10.05,7.89,2.51,1.97,2.28
Bank1144,,,,0.12,0.15,0.15,0.15,0.15,0.05,0.05,,0.2,,0.35,,0.65,1.2,0.9,1.1,1.55,3.5,3.75,4,4.5,3.5,3.75,4,,14.9,4,4,11.24,13.24,3.14,0.54,2.6,2.88,2.81,2.29,2.31,1.78,1.18,2.3,1.14,0.04,3.48,4.74,0.61,43.3,54.56,84.65,18.96,10.49,22.82,-0.12,50.95,45.6,-17.27,113.28,0.6,0.67,0.54,1.58,0.84,1.01,0.47,0.2,0.52,6.75,0.13,1.69,0.41
Bank1145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64,0.5,2.14,2.5,2.4,2.72,2.9,1.98,1.43,1.65,1.22,0.21,3.09,3.5,12.1,40.74,66.37,83.6,19.35,13.44,225.92,0,27.97,24.21,-8.35,116.73,0.69,0.69,0.25,2.91,0.17,1.8,0.21,0.48,6.2,-2.45,1.55,-0.61,1.68
Bank1146,0.1,0.1,0.15,0.2,0.31,0.38,0.38,0.38,0.15,0.15,0.3,0.75,,1.35,,1.65,,1.75,2,2.5,5.33,5.33,5.33,,5.58,,,,12.74,5.75,5.75,,,3.84,0.31,3.53,3.7,3.55,2.11,2.14,1.92,0.36,3.67,0.31,0.05,4.03,4.42,1.46,76.62,97.8,55.31,13.04,10.28,191.69,0.23,10.67,9.58,28.86,139.64,0.36,0.47,0.44,0.87,0.75,0.77,0.4,0.07,6.05,-0.76,1.51,-0.19,1.73
Bank1147,0.05,0.05,0.1,0.1,0.15,0.15,0.2,0.2,0.05,0.05,0.1,0.25,,0.4,,0.5,,0.75,0.95,1.25,4,4,4,4.5,4,4,4,4.5,,4,4,10.99,15.99,4.1,0.57,3.52,3.82,3.78,1.65,1.44,4.8,0.41,4.03,0.33,0.08,4.44,5.36,0.72,68.78,94.97,54.06,13.42,10.02,458.38,0.01,18.18,16.36,22.46,137.9,0.53,0.66,0.41,1.78,1.15,1.14,0.34,0.32,-4.48,1.2,-1.12,0.3,1.79
Bank1148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank1149,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.26,0.4,0.55,0.65,0.7,0.8,0.85,1.15,1.16,,,,,,,,,,,,,,4.11,0.68,3.43,3.54,3.34,2.86,2.5,5.14,0.3,3.94,0.22,0.07,4.24,4.4,0.45,87.15,116.49,83.65,13.26,9.28,,-0.01,5.44,4.94,-12.43,128.08,0.74,0.9,0.69,1.63,1.56,1.17,0.53,0.37,-4.63,12.63,-1.16,3.16,0.39
Bank1150,0.15,0.15,0.25,0.25,0.25,0.25,0.25,0.25,0.3,0.3,,0.5,,0.7,1.71,2.02,2.17,,,,1.99,1.99,1.99,2.99,1.99,1.99,1.99,2.99,,5.75,5.75,,,2.92,0.64,2.28,2.38,2.2,2.62,2.65,1.86,1.95,1.1,1.89,0.06,3.05,4.3,0.04,23.99,31.97,64.63,87.53,24.08,39.71,0,92.62,70.32,-13.14,129.75,0.85,0.85,0.85,,1.23,1.25,0.85,,5.85,7.31,1.46,1.83,0.7
Bank1151,0.01,0.01,0.03,0.03,0.05,0.07,0.2,0.2,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,3.43,0.17,3.26,3.57,3.52,2.11,2.07,2.97,0.64,3.12,0.6,0.04,3.76,4.47,0.36,64.32,76.22,77.35,13.74,9.18,69.76,0,22.59,20.52,9.24,123.57,0.19,0.23,0.15,1.57,0.73,0.45,0.14,0.1,5.48,6.07,1.37,1.52,0.55
Bank1152,0.02,0.02,0.02,0.02,0.02,0.04,0.04,0.04,0.02,0.02,0.05,0.1,,0.25,,0.35,,0.75,0.95,1.1,3.99,3.99,3.99,,3.99,3.99,3.99,,9.5,7,7,,,3.7,0.52,3.18,3.59,3.44,2.52,2.64,2.25,0.6,3.57,0.43,0.17,4.18,4.7,1.17,68.02,82.21,77.1,12.99,8.94,34.04,0,22.4,20.4,18.83,126.59,0.58,0.73,0.56,2.22,1.64,1.52,0.5,0.24,29.13,36.25,7.28,9.06,0.78
Bank1153,0.05,0.05,0.1,0.1,0.15,0.15,0.2,0.3,0.05,0.05,0.1,0.2,,0.4,,0.45,,0.55,0.65,1,4.77,4.77,5.41,5.61,5.67,5.67,5.67,,,6.68,7.42,10.99,16.99,3.35,0.21,3.15,3.42,3.41,2.19,2.26,1.66,0.88,2.76,0.81,0.07,3.65,4.62,0.52,55.56,65.04,68.26,13.61,6.11,186.87,-0.01,23.28,21.85,11.02,143.82,0.18,0.24,0.17,0.72,1.13,0.5,0.15,0.08,3.7,6.13,0.93,1.53,1.12
Bank1154,0.01,0.01,0.05,0.05,0.05,0.1,0.11,0.15,0.05,0.05,,0.21,,0.35,,0.58,0.65,0.95,1.05,1.22,4.48,4.43,4.39,4.37,6.24,6.18,,,,9.84,9.84,,,3.69,0.4,3.3,3.57,3.44,2.33,2.54,1.69,0.56,3.44,0.46,0.1,4,4.52,0.66,69.49,91.76,79.59,22.98,13.4,96.61,0.14,22.16,19.19,-1.99,127.8,0.46,0.55,0.4,1.56,2.03,0.61,0.35,0.21,2.53,4.69,0.63,1.17,0.56
Bank1155,0.02,0.02,0.05,0.07,0.07,0.1,0.1,0.1,0.05,0.05,0.31,0.41,0.46,0.99,0.66,2.01,2.11,1.11,1.36,2.11,3.49,3.49,3.49,3.99,4.49,4.49,4.49,5.04,8.99,4.99,4.99,,14.99,4.3,1.06,3.24,3.49,3.31,2.91,2.86,3.32,0.51,4.12,0.45,0.07,4.64,5,0.74,76.99,99.34,55.1,12.49,9.6,33.34,0.2,12.17,11,-32.7,116.81,1.18,1.33,1.02,2.71,1.33,1.4,0.83,0.49,0.12,13.48,0.03,3.37,1.4
Bank1156,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.15,,0.2,,0.4,,0.5,,1.01,,,,,,,,,,,,,,3.27,0.33,2.94,3.16,3.11,2.05,2.03,3.3,0.8,2.7,0.78,0.02,3.51,4.45,0.2,55.32,63.96,93.96,26.31,12.3,90.05,0,36.55,32.06,-15.47,113.48,0.37,0.4,0.38,4.26,1.1,0.84,0.38,0.03,-5.17,-4.22,-1.29,-1.06,0.15
Bank1157,,,0.1,0.15,0.15,0.2,0.2,0.2,0.15,0.15,0.25,0.4,,0.5,0.6,1.6,,0.9,1,1.26,2.85,3,3.25,3.5,4.5,4.75,5,5,,5,5,11.24,13.24,3.67,0.62,3.05,3.44,3.32,2.38,2.58,1.28,0.4,3.75,0.36,0.03,4.14,4.49,0.56,74.12,86.62,91.32,17.08,12.2,20.55,0.01,17.98,15.79,-11.84,118.23,0.71,0.82,0.8,2.21,1.43,1.24,0.78,0.04,-6,-4.31,-1.5,-1.08,0.24
Bank1158,0.01,0.01,0.01,0.03,0.05,0.05,0.05,0.05,0.01,0.01,0.03,0.05,0.05,0.1,0.1,0.2,0.2,0.25,0.3,0.4,3.79,3.89,3.89,4.74,3.65,3.89,3.89,4.74,8.94,5.99,5.99,,12.49,3.29,0.44,2.85,3.12,2.94,2.54,2.63,2.28,0.57,3.04,0.44,0.13,3.61,3.92,1.56,70.63,89.3,64.3,12.9,11.76,52.59,0.22,21.91,19.32,38.76,137.25,0.52,0.67,0.44,2.57,0.87,1.17,0.39,0.28,-2.33,4.18,-0.58,1.05,1.25
Bank1159,0.05,0.05,0.1,0.15,0.15,0.15,0.15,0.15,0.05,0.05,0.05,0.1,,0.15,0.2,,0.25,,0.5,,,,,,,,,,,,,,,3.44,0.08,3.35,3.37,3.34,1.61,,,0.52,2.93,,,3.45,4.34,0.38,67.03,82.54,73.53,34.4,18.26,59.09,0,38.05,31.11,22.04,130.06,0.1,0.11,0.11,,0.16,0.2,0.11,,-34.93,-43.13,-8.73,-10.78,0.68
Bank1160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29,0.1,3.2,3.3,2.84,2,2.16,0.79,1.07,2.33,1.02,0.05,3.4,4.99,1.18,45.27,52.57,46.3,13.99,8.13,148.81,0.15,48.84,44.74,34.28,502.94,0.11,0.56,0.2,4.17,0.08,0.12,0.18,0.38,24.22,22.64,6.05,5.66,1.48
Bank1161,,,1.05,1.05,1.05,1.05,1.05,1.05,1.55,1.55,0.75,1,1.25,1.95,1.95,2.1,,2.05,2.2,2.5,,,,,,,,,,,,,,15.13,1.51,13.62,13.16,12.75,1.62,1.88,1.53,0.31,14.3,0.09,0.22,14.61,17.72,0.87,81.75,112.32,32.59,17.37,13.73,845.96,6.34,24.66,21.27,20.93,127.37,1.85,1.86,1.74,2.9,1.67,1.96,1.57,0.29,2.39,1.04,0.6,0.26,2.49
Bank1162,0.05,0.05,0.04,0.09,0.17,0.17,0.17,0.17,0.03,0.03,0.07,0.11,0.11,0.14,0.18,0.27,,0.38,0.51,0.65,3.73,3.86,3.99,4.1,4.73,4.91,,,8.92,5.47,5.48,,10.49,4,0.5,3.5,3.69,3.45,2.27,2.33,1.94,0.37,3.85,0.32,0.05,4.21,4.59,0.84,79.17,95,56.97,12.4,9.39,99.59,0.07,14.27,12.93,41.07,141.91,0.56,0.76,0.57,2.46,1.5,1.05,0.51,0.24,3.58,1.62,0.89,0.4,1.32
Bank1163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.07,1.09,2.98,3.12,2.97,1.77,2.31,1.57,0.16,4.11,0.06,0.1,4.27,4.51,0.04,87.54,99.26,122.94,19.35,11.73,18.96,0,12.62,11.14,7.58,110.9,1.28,1.3,1.3,,0,1.48,1.3,,12.17,14.83,3.04,3.71,-0.69
Bank1164,0.02,0.02,0.03,0.03,0.05,0.05,0.1,0.1,0.02,0.02,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.15,0.3,0.4,,,,,,,,,,,,,6.5,3.6,0.06,3.55,3.74,3.69,2.61,2.64,2.07,0.82,2.98,0.79,0.03,3.8,4.35,0.72,64.54,70.79,66.47,11.58,8.36,100.03,-0.01,33.27,30.49,36.65,189.87,0.06,0.12,0.1,1.77,0.27,0.34,0.1,0.01,7.07,10.33,1.77,2.58,1.05
Bank1165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.92,0.98,2.95,3.72,3.78,1.62,0,1.63,0.41,4.54,0,0.41,4.95,6.07,0.15,74.86,88.34,73.52,21.74,15.13,,0,23.25,19.73,4.5,110.46,1.17,1.17,1.17,,1.63,1.49,1.17,,-0.41,-1.27,-0.1,-0.32,0.69
Bank1166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,0.27,3.84,4.15,4.11,2.13,2.23,1.88,0.26,4.19,0.2,0.06,4.45,4.78,0.43,80.62,92.09,79.1,17.12,9.74,32.43,0.06,12.3,11.1,25.78,112.6,0.31,0.34,0.34,,0.72,0.54,0.34,,-1.51,-2.1,-0.38,-0.53,0.63
Bank1167,0.08,0.08,0.05,0.08,0.13,0.15,0.17,0.17,0.05,0.05,0.25,0.67,1.05,1.01,1.09,1.37,1.06,1.25,1.32,1.52,4.19,4.37,4.39,4.39,4.34,4.55,4.6,4.8,9,5.21,5.21,11.24,13.24,6.35,0.66,5.69,6.15,5.93,1.78,1.86,1.65,0.21,6.64,0.14,0.08,6.86,7.54,0.66,84.85,111.2,60.07,11.91,12.44,42.09,0.18,7.73,6.76,16.52,132.69,0.75,0.93,0.85,1.38,1.34,1.33,0.72,0.21,-10.97,-13.53,-2.74,-3.38,1.59
Bank1168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.83,0.61,3.22,3.37,3.26,2.1,2.37,1.76,0.4,3.61,0.25,0.14,4.01,4.45,0.24,78.05,93.44,96.94,19.56,13.36,163.1,-0.27,22.05,19.11,-1.19,118.85,0.72,0.75,0.72,2.6,1.29,0.97,0.71,0.05,8.86,15.91,2.22,3.98,0.06
Bank1169,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0.05,0.15,0.2,0.25,0.25,0.3,0.35,7.99,7.99,7.99,,8.65,8.65,8.65,,11.65,9.83,9.83,11.24,17.24,4.87,0.56,4.32,4.61,4.39,2.36,2.2,3.35,0.26,4.94,0.21,0.05,5.2,5.55,1.83,83.05,103.59,69,13.26,10.78,64.48,0.3,12.96,11.55,16.52,135.59,0.65,0.81,0.62,2.69,1.56,1.32,0.56,0.24,6.62,7.86,1.66,1.96,1.28
Bank1170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank1171,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,,0.5,0.65,,0.9,,1.21,,2.9,2.9,3.9,,4.25,4.5,,,,,,9.99,,3.88,0.7,3.18,3.31,3.14,1.53,1.71,1.31,0.57,3.47,0.34,0.23,4.04,5.53,1.04,59.07,79.16,73.43,40.61,18.66,255.33,-0.03,41.08,33.42,9.98,122.76,0.86,0.9,0.78,2.33,1.06,1.22,0.72,0.18,11.42,15.08,2.86,3.77,0.88
Bank1172,0.1,0.1,0.2,0.2,0.25,0.3,0.4,0.4,0.15,0.15,,0.15,,0.2,,1.76,,,,2.27,3.25,3.25,3.25,,3.5,3.5,3.5,,,4.5,4.5,,,3.74,0.8,2.94,3.11,2.94,2.03,,,0.1,3.86,,,3.96,4.06,0.29,90.86,113.29,103.17,22.7,11.45,62.82,0,8.27,7.33,-14.32,117.35,0.91,1.02,0.92,1.95,0.65,1.52,0.83,0.19,-9.49,-11.72,-2.37,-2.93,-0.1
Bank1173,0.1,0.1,0.15,0.15,0.25,0.3,0.3,0.3,0.15,0.15,0.25,0.5,0.5,0.85,0.9,1.2,1.2,1.35,1.55,1.8,2.8,3.25,3.53,4,2.8,3.25,3.53,4,7.25,5.25,5.25,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank1174,0.05,0.05,0.05,0.1,0.1,0.15,0.2,0.2,0.05,0.05,0.05,0.1,,0.15,0.2,0.25,0.3,0.5,0.5,0.65,,,,,,,,,,,,11.24,13.24,3.65,0.48,3.17,3.41,3.31,2.88,2.82,3.94,0.77,3.16,0.72,0.06,3.94,4.32,0.79,68.08,89.74,90.94,14.74,9.06,135.91,0.03,21.79,19.82,-0.03,120.13,0.54,0.62,0.42,1.47,1.23,0.75,0.34,0.28,2.8,6.23,0.7,1.56,0.34
Bank1175,0.05,0.05,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,0.05,0.25,0.25,0.3,,0.4,,1.25,1.5,2,,,,,,,,,8.25,,,11.49,13.49,3.62,0.6,3.03,3.13,3.05,2.94,3.07,1.79,0.68,3.06,0.64,0.04,3.75,3.99,0.14,73.35,89,57.46,23.74,10.42,67.3,0,8.31,7.45,-9.34,112.26,0.67,0.69,0.62,1.64,1.4,1.53,0.57,0.13,10.35,15.04,2.59,3.76,0.99
Bank1176,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.2,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,,,,,,11.49,13.49,4.26,0.73,3.53,3.6,3.04,1.55,3.04,1.54,0.18,4.16,0,0.18,4.34,4.71,0.26,88.02,114.68,54.34,11.89,9.3,143.42,0.1,11.2,10.16,76.51,163.58,0.83,1.3,1.12,2.25,0.86,0.86,0.94,0.36,-9.99,-7.5,-2.5,-1.88,1.2
Bank1177,0.05,0.05,0.15,0.15,0.15,0.25,0.3,0.3,0.1,0.1,0.8,1.27,,2.14,2.17,2.37,2.62,2.69,1.48,2.77,,,,,,,,,,,,,,4.11,1.39,2.71,2.67,3.09,2.74,3.29,1.45,1.62,2.42,1.36,0.26,4.04,5.92,0.04,22.6,43.4,34.91,20.59,7.7,19.36,0,74.77,69.01,-7.79,108.13,1.57,0.95,1.64,0.09,1.65,1.72,0.92,0.04,11.56,5.23,2.89,1.31,1.9
Bank1178,0.1,0.1,0.1,0.1,0.2,0.25,0.25,0.3,0.15,0.15,0.2,0.35,,0.55,0.6,0.7,,1,1,1.15,,,,,,,,,,,,,,3.76,0.18,3.59,3.8,3.65,1.97,2.17,0.91,0.86,3.12,0.8,0.06,3.98,5.55,1.57,53.4,61.76,65.11,18.66,13.19,173.13,0.32,33.43,29.02,28.32,177.17,0.2,0.34,0.34,0,0.72,0.52,0.34,0,-0.86,-2.42,-0.21,-0.6,1.64
Bank1179,0.1,0.1,,0.15,0.2,0.3,0.4,0.4,0.1,0.15,0.35,0.45,,0.55,0.6,0.7,0.8,1,1.2,1.45,2.39,2.49,2.59,2.99,2.79,2.89,2.99,3.39,6.99,3.89,3.89,9.75,,3.17,0.18,2.99,3.18,3.14,2.07,2.16,1.5,0.71,2.66,0.64,0.07,3.36,4.03,1.05,60.45,71.49,72.47,28,14.85,262.09,0.08,40.03,34.09,6.38,120.28,0.21,0.22,0.22,,0.74,0.59,0.22,,8.73,11.07,2.18,2.77,0.81
Bank1180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.24,0.99,4.25,4.58,4.43,2.38,2.87,2.37,0.09,5.55,0,0.09,5.65,5.78,0.27,87.41,106.58,74.42,11.06,8.78,95.42,0.02,10.72,9.78,16.31,110.98,1.14,1.21,1.24,0.93,1.57,1.23,1.14,0.08,31.38,11.71,7.85,2.93,0.62
Bank1181,0.05,0.1,,,,,,,0.05,0.05,0.15,0.15,0.23,0.3,0.3,0.4,0.55,0.8,1,2.75,,,,,,,,,,,,,,3.18,1.15,2.03,2.07,1.95,2.26,2,2.69,0.15,3.1,0.08,0.06,3.25,3.32,0.08,91.42,150.18,63.05,20.23,10.7,23.87,-0.04,6.51,5.81,-24.77,110.1,1.28,1.3,1.14,1.63,1.42,1.57,0.77,0.53,1.93,4.3,0.48,1.08,0.66
Bank1182,0.05,0.15,0.15,0.15,0.15,0.2,0.2,0.2,0.1,0.1,0.2,0.75,0.35,1.35,0.8,2,1.2,1.25,2,2.25,5.25,5.75,6.75,6.75,6.25,6.25,,,9.99,,,,,3.57,0.69,2.88,3.06,2.82,2.32,2.41,1.75,0.61,3.18,0.55,0.07,3.79,4.32,0.52,67.9,77.49,80.51,18.93,10.49,37.01,0.14,28.51,25.52,2.53,131.61,0.78,0.97,0.97,0,1.63,1.52,0.97,0,9.68,11.1,2.42,2.78,0.46
Bank1183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,1.17,-0.53,-1.48,,1.74,1.72,,1.74,,1.72,,1.74,,96.04,0,0,102.49,189.67,59.49,,,153.93,62.35,-3.19,197.43,6.45,6.45,0.2,7.6,0.2,,0.03,6.42,2.4,0,0.6,0,-1.74
Bank1184,,0.25,,1.01,1.05,1.11,1.21,1.21,0.71,0.71,1.25,1.45,1.6,2.05,2.12,2.35,2.3,2.4,2.5,2.65,,,,,,,,,,,,,11.25,3.73,1.1,2.63,2.81,2.66,2.25,2.42,2.13,0.21,3.77,0.1,0.12,3.98,4.17,1.23,84.47,124.03,71.47,14.66,10.96,57.99,0.05,7.78,6.93,11.72,112.94,1.26,1.32,1.17,1.79,1.72,1.52,0.87,0.45,-4.22,3.03,-1.05,0.76,0.68
Bank1185,0.2,0.2,0.1,0.1,0.15,0.15,0.25,0.3,0.01,0.01,,0.2,,0.25,0.75,0.7,2,0.85,1.11,1.75,4.65,4.65,4.65,4.65,5.67,5.67,5.67,5.67,,7.68,7.68,11.24,13.24,4.22,0.27,3.94,4.19,4.07,1.61,1.94,1.59,0.35,4.13,0.02,0.33,4.48,5.29,1.28,72.12,82.02,57.11,18.01,11.77,125.69,0.01,25.34,22.35,39.65,142.56,0.31,0.41,0.41,,1.35,0.94,0.41,,2.94,1.98,0.74,0.5,1.75
Bank1186,0.2,0.2,0.1,0.1,0.15,0.15,0.25,0.3,0.01,0.01,,0.2,,0.25,0.75,0.7,2,0.85,1.11,1.75,4.65,4.65,4.65,4.65,5.67,5.67,5.67,5.67,,7.68,7.68,11.24,13.24,4.22,0.27,3.95,4.2,4.09,1.61,1.94,1.59,0.35,4.14,0.02,0.33,4.49,5.29,1.3,72.27,81.96,56.4,17.56,11.49,125.69,0.01,25.07,22.19,39.35,142.12,0.3,0.4,0.4,0,1.48,0.93,0.4,0,2.92,2.05,0.73,0.51,1.78
Bank1187,0.15,0.15,,,,,,,0.25,0.35,,0.8,,1.26,1.36,1.46,1.86,1.61,1.76,,3,3.25,3.5,,3.5,3.75,4,,,,,,9.9,2.91,0.61,2.3,2.36,2.19,2.11,2.15,1.72,0.72,2.28,0.67,0.05,3,3.45,0.07,64.06,82.2,60.47,53.61,21.91,46.49,0.05,41.9,32.72,-23.3,127.54,0.79,0.81,0.81,,1.19,1.13,0.81,,-5.21,-5.56,-1.3,-1.39,0.75
Bank1188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.96,1.25,3.71,3.87,3.71,1.59,2.16,1.15,0.23,4.94,0.14,0.1,5.17,5.78,0.73,86,111.83,78.31,22.33,12.4,52.63,0.12,14.41,12.63,10.1,114.29,1.44,1.46,1.38,2.07,2,1.59,1.22,0.24,-16.95,-19.17,-4.24,-4.79,-0.09
Bank1189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank1190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,0.19,3.55,3.95,3.9,2.15,2.11,2.29,0.33,3.83,0.25,0.08,4.16,4.53,0.58,79.15,93.52,85.17,16.15,13,239,0.03,16.94,14.74,15.88,124.11,0.22,0.26,0.26,0,0.35,0.79,0.26,0,-24.93,-34.02,-6.23,-8.5,0.48
Bank1191,0.04,0.04,0.03,0.05,0.1,0.12,0.12,0.12,0.03,0.05,0.08,0.1,0.48,0.31,0.38,0.47,0.6,0.67,0.87,1.07,3.62,3.72,3.85,4.75,4.16,4.26,4.18,6.49,8.6,6.5,6.12,11.49,13.49,3.6,0.45,3.16,3.37,3.21,2.37,2.18,,0.59,3.26,0.54,0.05,3.85,4.34,1.06,70.77,95.43,61.47,12.5,8.69,147.38,0.01,3.61,3.3,3.6,133.41,0.49,0.64,0.32,1.64,,0.89,0.24,0.4,-0.01,7.61,0,1.9,1.22
Bank1192,0.05,0.05,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.25,0.5,0.7,1,1.5,2,2,2,2,2.25,,,,,,,,,,,,,,2.95,0.61,2.33,2.49,2.36,1.86,1.9,1.7,0.69,2.45,0.57,0.12,3.15,3.91,0.38,58.22,72.64,70.5,43.14,19.39,100.46,0.05,44.5,35.87,9.18,122.44,0.75,0.79,0.79,,1.52,1.4,0.79,,-1.65,-2.34,-0.41,-0.59,0.61
Bank1193,0.06,0.06,0.06,0.09,0.09,0.09,0.14,0.14,0.05,0.05,,0.21,,0.35,,0.7,,1.03,1.26,1.35,2.59,2.59,2.59,2.59,4.44,4.44,4.44,,,5.24,5.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank1194,0.05,0.05,0.07,0.07,0.12,0.17,0.17,0.17,0.05,0.05,0.07,0.1,,0.15,0.2,0.25,0.35,0.5,0.71,1.01,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,8.99,4.49,4.49,,12.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank1195,0.1,0.1,0.18,0.2,0.22,0.22,0.22,0.22,0.2,0.2,0.21,0.6,,0.75,0.82,0.99,1.01,2.01,2.21,2.3,,,,,,,,,,,,,,4.17,0.64,3.54,3.67,3.46,2.03,2.14,1.74,0.46,3.87,0.35,0.11,4.33,4.99,0.58,73.87,87.89,79.28,19.1,12.38,46.84,0.29,21.12,18.51,10.72,129.02,0.73,0.86,0.82,2.51,1.61,1.31,0.8,0.07,3.03,4.2,0.76,1.05,0.34
Bank1196,0.05,0.05,0.05,0.05,0.05,0.1,0.15,0.3,0.15,0.15,0.15,0.2,,0.25,0.35,0.4,0.45,0.55,0.75,0.9,4,4.25,4.99,,4.5,4.75,5.25,,8,,,11.24,13.24,3.9,0.67,3.23,3.3,3.19,2.5,2.61,1.7,0.72,3.27,0.66,0.06,3.98,4.58,0.36,68.15,80.62,53.29,14.82,9.72,195.61,0.01,21.05,19,8.62,114.23,0.74,0.8,0.76,1.27,1.56,1.42,0.71,0.08,14.45,19.24,3.61,4.81,1.61
Bank1197,0.05,0.05,0.02,0.05,0.05,0.1,0.15,0.15,0.02,0.02,0.05,0.1,,0.3,0.65,1,1.1,1.15,1.35,1.5,4.49,4.99,5.49,,5.49,5.99,,,,7.49,8.49,11.49,13.49,3.63,0.13,3.51,3.82,3.82,2.55,2.44,26.86,0.87,3.09,0.83,0.04,3.96,4.7,1.11,61.05,68.17,69.74,17.26,10.18,53.9,-0.1,29.65,26.63,15.01,133.45,0.11,0.14,0.14,,0.31,0.99,0.14,,-5.67,-5.26,-1.42,-1.32,1.09
Bank1198,0.02,0.02,0.05,0.06,0.1,0.15,0.17,0.19,0.03,0.03,0.1,0.12,0.15,0.18,0.2,0.3,,0.5,0.55,0.85,2.24,2.24,2.49,3.24,2.74,2.74,3.24,3.99,9.31,5.24,6.74,11.49,13.49,3.98,0.18,3.8,4.11,4.01,2.7,2.66,3.2,0.83,3.48,0.76,0.07,4.31,5.03,1.04,64.27,75.21,66.29,13.91,10.57,88.45,0.02,23.45,20.97,8.24,154.7,0.2,0.3,0.16,2.52,1.13,0.41,0.15,0.15,1.57,7.51,0.39,1.88,1.17
